benchmark,config,max_fired,max_completed,max_active_add,max_active_div,max_active_mem
gen-lin-recc,Config1,2,2,2,3,3
gen-lin-recc,Config2,2,2,2,2,2
gen-lin-recc,Config3,2,2,2,2,5
gen-lin-recc,Config4,2,2,2,3,2
gen-lin-recc,Config5,2,2,2,1,4
gen-lin-recc,Config6,2,2,2,3,5
iccg,Config1,2,2,2,3,3
iccg,Config2,2,2,2,2,2
iccg,Config3,2,2,2,2,5
iccg,Config4,2,2,2,3,2
iccg,Config5,2,2,2,1,4
iccg,Config6,2,2,2,4,5
inner-product,Config1,2,2,2,2,3
inner-product,Config2,2,2,2,2,2
inner-product,Config3,3,2,2,2,5
inner-product,Config4,2,2,2,2,2
inner-product,Config5,2,2,2,1,4
inner-product,Config6,2,2,2,3,6
